algorithm-1,   algorithm-2,   algorithm-3,   algorithm-4,   T1(n),         T2(n),         T3(n),         T4(n)          
2706.70,       1615.42,       2278.33,       640.58,        2124.00,       804.00,        844.00,        185.00         
4889.96,       250.17,        1740.98,       138.14,        6009.00,       1729.00,       1274.00,       275.00         
1147.76,       224.71,        290.68,        172.39,        12944.00,      3004.00,       1707.00,       365.00         
1453.83,       259.20,        288.07,        414.05,        23804.00,      4629.00,       2142.00,       455.00         
3605.65,       363.00,        341.11,        486.93,        39464.00,      6604.00,       2578.00,       545.00         
3377.80,       593.31,        441.55,        516.11,        60799.00,      8929.00,       3015.00,       635.00         
5245.03,       629.02,        486.16,        748.15,        88684.00,      11604.00,      3453.00,       725.00         
7654.18,       789.58,        683.83,        923.05,        123994.00,     14629.00,      3893.00,       815.00         
9954.10,       1071.37,       766.08,        1286.23,       167604.00,     18004.00,      4333.00,       905.00         
13812.76,      1352.52,       659.81,        1144.49,       220389.00,     21729.00,      4773.00,       995.00         
16564.48,      1383.51,       1464.69,       1595.29,       283224.00,     25804.00,      5215.00,       1085.00        
21383.44,      2201.85,       954.69,        1593.28,       356984.00,     30229.00,      5657.00,       1175.00        
24274.60,      1847.15,       881.44,        2201.69,       442544.00,     35004.00,      6100.00,       1265.00        
26882.44,      2114.71,       903.40,        2290.00,       540779.00,     40129.00,      6543.00,       1355.00        
31500.42,      2561.61,       1052.81,       2404.22,       652564.00,     45604.00,      6986.00,       1445.00        
39579.92,      3183.04,       1141.92,       3054.41,       778774.00,     51429.00,      7430.00,       1535.00        
48853.42,      4287.92,       1715.47,       3255.42,       920284.00,     57604.00,      7875.00,       1625.00        
57258.23,      4539.80,       1141.72,       4504.10,       1077969.00,    64129.00,      8320.00,       1715.00        
63318.34,      3830.14,       1227.77,       3805.63,       1252704.00,    71004.00,      8765.00,       1805.00        
